calle,street,Vía pública para caminar o conducir,Public road for walking or driving,ciudad,beginner
plaza,plaza,Espacio abierto en el centro de la ciudad,Open space in the center of a city,ciudad,beginner
parque,park,Zona verde para descansar y jugar,Green area for resting and playing,ciudad,beginner
puente,bridge,Estructura que cruza un río o carretera,Structure that crosses a river or road,ciudad,beginner
metro,subway,Transporte subterráneo de la ciudad,Underground city transportation,ciudad,beginner
banco,bench,Asiento público en la calle o parque,Public seat on the street or in a park,ciudad,beginner
torre,tower,Edificio muy alto en la ciudad,Very tall building in the city,ciudad,beginner
mapa,map,Guía visual de calles y lugares,Visual guide of streets and places,ciudad,beginner
taxi,taxi,Vehículo público que te lleva a tu destino,Public vehicle that takes you to your destination,ciudad,beginner
acera,sidewalk,Camino peatonal junto a la calle,Pedestrian path next to the street,ciudad,beginner
semaforo,stoplight,Luz que controla el tráfico,Light that controls traffic,ciudad,advanced
esquina,corner,Punto donde se cruzan dos calles,Point where two streets meet,ciudad,beginner
barrio,district,Zona o sección de una ciudad,Zone or section of a city,ciudad,advanced
fuente,fountain,Estructura decorativa que lanza agua,Decorative structure that shoots water,ciudad,beginner
buzon,mailbox,Caja para depositar cartas,Box for depositing letters,ciudad,beginner
farol,lamppost,Luz que ilumina las calles de noche,Light that illuminates streets at night,ciudad,advanced
avenida,avenue,Calle ancha y principal de la ciudad,Wide main street of the city,ciudad,advanced
muro,wall,Barrera de piedra o ladrillo,Barrier made of stone or brick,ciudad,beginner
piso,floor,Nivel de un edificio,Level of a building,ciudad,beginner
ruta,route,Camino establecido para llegar a un lugar,Established path to reach a place,ciudad,beginner
tranvia,tram,Vehículo sobre rieles en la ciudad,Vehicle on rails in the city,ciudad,advanced
glorieta,rotary,Intersección circular para el tráfico,Circular intersection for traffic,ciudad,advanced
callejon,alley,Calle estrecha entre edificios,Narrow street between buildings,ciudad,advanced
vereda,path,Sendero estrecho para caminar,Narrow trail for walking,ciudad,advanced
banca,bench,Asiento largo en un lugar público,Long seat in a public place,ciudad,beginner
cruce,crossing,Lugar donde se cruzan dos caminos,Place where two roads cross,ciudad,beginner
via,way,Camino o ruta de transporte,Road or transport route,ciudad,beginner
zona,zone,Área delimitada de la ciudad,Delimited area of the city,ciudad,beginner
obra,works,Construcción o reparación en la calle,Construction or repair on the street,ciudad,advanced
bocina,horn,Dispositivo sonoro de un vehículo,Sound device of a vehicle,ciudad,advanced
rampa,ramp,Superficie inclinada para subir o bajar,Inclined surface for going up or down,ciudad,advanced
tienda,store,Lugar donde se venden productos,Place where products are sold,compras,beginner
precio,price,Cantidad de dinero que cuesta algo,Amount of money something costs,compras,beginner
caja,register,Lugar donde se paga en una tienda,Place where you pay in a store,compras,beginner
bolsa,bag,Recipiente para llevar las compras,Container to carry purchases,compras,beginner
oferta,offer,Producto con precio reducido,Product with a reduced price,compras,beginner
cambio,change,Dinero que te devuelven al pagar,Money returned to you after paying,compras,beginner
marca,brand,Nombre comercial de un producto,Commercial name of a product,compras,beginner
talla,size,Medida de la ropa,Measurement of clothing,compras,beginner
ganga,bargain,Producto muy barato,Very cheap product,compras,advanced
recibo,receipt,Papel que confirma una compra,Paper that confirms a purchase,compras,beginner
moneda,coin,Pieza metálica de dinero,Metallic piece of money,compras,beginner
billete,bill,Papel moneda para pagar,Paper money for paying,compras,beginner
carrito,cart,Vehículo pequeño para llevar compras,Small vehicle to carry purchases,compras,beginner
vitrina,display,Ventana de vidrio que muestra productos,Glass window that shows products,compras,advanced
rebaja,sale,Reducción del precio original,Reduction of the original price,compras,beginner
costo,cost,Lo que se paga por un bien o servicio,What you pay for a good or service,compras,beginner
pago,payment,Acción de entregar dinero por algo,Action of giving money for something,compras,beginner
deuda,debt,Dinero que se debe a alguien,Money owed to someone,compras,advanced
ahorro,savings,Dinero guardado para el futuro,Money saved for the future,compras,advanced
factura,invoice,Documento detallado de una compra,Detailed document of a purchase,compras,advanced
estante,shelf,Tabla horizontal para colocar productos,Horizontal board for placing products,compras,beginner
probador,fitting,Cuarto para probarse la ropa,Room for trying on clothes,compras,advanced
tarjeta,card,Plástico para pagar sin efectivo,Plastic for paying without cash,compras,beginner
efectivo,cash,Dinero en billetes y monedas,Money in bills and coins,compras,advanced
pedido,order,Solicitud de compra de productos,Purchase request for products,compras,beginner
envio,shipping,Transporte de un producto al comprador,Transport of a product to the buyer,compras,advanced
regalo,gift,Objeto que se da sin esperar pago,Object given without expecting payment,compras,beginner
vale,voucher,Cupón que se puede canjear por productos,Coupon redeemable for products,compras,advanced
fila,line,Personas esperando en orden,People waiting in order,compras,beginner
saldo,balance,Cantidad de dinero disponible,Amount of money available,compras,advanced
gasto,expense,Dinero que se usa para comprar algo,Money used to buy something,compras,advanced
etiqueta,tag,Papel con el precio del producto,Paper with the product price,compras,beginner
mesa,table,Mueble donde se come en un restaurante,Furniture where you eat in a restaurant,restaurante,beginner
plato,dish,Recipiente donde se sirve la comida,Container where food is served,restaurante,beginner
menu,menu,Lista de comidas disponibles,List of available meals,restaurante,beginner
copa,glass,Recipiente elegante para beber vino,Elegant container for drinking wine,restaurante,beginner
cuenta,check,Documento con el total a pagar,Document with the total to pay,restaurante,beginner
propina,tip,Dinero extra que se deja al mesero,Extra money left for the waiter,restaurante,beginner
mesero,waiter,Persona que sirve la comida,Person who serves the food,restaurante,beginner
chef,chef,Persona que cocina en un restaurante,Person who cooks in a restaurant,restaurante,beginner
sopa,soup,Comida líquida y caliente,Hot liquid food,restaurante,beginner
postre,dessert,Comida dulce al final de la cena,Sweet food at the end of dinner,restaurante,beginner
cena,dinner,Comida principal de la noche,Main meal of the evening,restaurante,beginner
vino,wine,Bebida alcohólica hecha de uvas,Alcoholic drink made from grapes,restaurante,beginner
carta,menu,Lista detallada de platos y precios,Detailed list of dishes and prices,restaurante,advanced
reserva,booking,Apartar una mesa con anticipación,Setting aside a table in advance,restaurante,advanced
cocina,kitchen,Lugar donde se preparan los alimentos,Place where food is prepared,restaurante,beginner
mantel,cloth,Tela que cubre la mesa del restaurante,Fabric that covers the restaurant table,restaurante,advanced
bandeja,tray,Superficie plana para llevar platos,Flat surface for carrying dishes,restaurante,advanced
cuchara,spoon,Utensilio para comer sopa,Utensil for eating soup,restaurante,beginner
tenedor,fork,Utensilio con puntas para comer,Utensil with prongs for eating,restaurante,beginner
vaso,cup,Recipiente para beber agua o jugo,Container for drinking water or juice,restaurante,beginner
sal,salt,Condimento blanco para dar sabor,White seasoning for adding flavor,restaurante,beginner
salsa,sauce,Líquido con sabor para acompañar comida,Flavored liquid to accompany food,restaurante,beginner
asado,roast,Carne cocinada al fuego o al horno,Meat cooked over fire or in the oven,restaurante,advanced
guiso,stew,Comida cocida lentamente con caldo,Food slowly cooked with broth,restaurante,advanced
frito,fried,Comida cocinada en aceite caliente,Food cooked in hot oil,restaurante,beginner
horno,oven,Aparato para cocinar con calor,Appliance for cooking with heat,restaurante,advanced
entrada,entree,Plato principal que se pide en un restaurante,Main dish ordered at a restaurant,restaurante,advanced
barra,bar,Mostrador largo donde se sirven bebidas,Long counter where drinks are served,restaurante,advanced
taza,mug,Recipiente con asa para bebidas calientes,Container with handle for hot drinks,restaurante,beginner
caldo,broth,Líquido caliente hecho de carne o verduras,Hot liquid made from meat or vegetables,restaurante,advanced
filete,fillet,Corte fino de carne o pescado,Thin cut of meat or fish,restaurante,advanced
arroz,rice,Grano blanco que acompaña muchos platos,White grain that accompanies many dishes,restaurante,beginner
pan,bread,Alimento horneado hecho de harina,Baked food made from flour,restaurante,beginner
